delta,contention,seed,agent,source,declared_demand,staleness_error,calibration_error,latent_oracle_error
0.0,high,19063083,a0,execution_queue_oracle,"{""COMPUTE"": 176.0, ""MEMORY"": 128.0, ""API_CREDITS"": 80.0, ""DATASET"": 0.0}",0.6420613175465741,6.975394650879922,6.975394650879922
0.0,high,19063083,a0,latent_distribution_oracle,"{""COMPUTE"": 173.43011367791166, ""MEMORY"": 126.71505425351543, ""API_CREDITS"": 78.34793502307194, ""DATASET"": 1.4684976053789582}",0.6420613175465741,6.975394650879922,6.975394650879922
0.0,high,19063083,a0,refreshed_calibration,"{""COMPUTE"": 176.0, ""MEMORY"": 128.0, ""API_CREDITS"": 80.0, ""DATASET"": 0.0}",0.6420613175465741,6.975394650879922,6.975394650879922
0.0,high,19063083,a0,stale_calibration,"{""COMPUTE"": 173.66666666666666, ""MEMORY"": 126.83333333333333, ""API_CREDITS"": 78.5, ""DATASET"": 1.3333333333333333}",0.6420613175465741,6.975394650879922,6.975394650879922
0.0,high,19063083,a1,execution_queue_oracle,"{""COMPUTE"": 78.0, ""MEMORY"": 65.0, ""API_CREDITS"": 43.0, ""DATASET"": 8.0}",3.5796733722681378,2.7536599610651957,13.404083149718492
0.0,high,19063083,a1,latent_distribution_oracle,"{""COMPUTE"": 79.90742956500448, ""MEMORY"": 64.34145507234001, ""API_CREDITS"": 47.22040132665372, ""DATASET"": 1.3822926695996953}",3.5796733722681378,2.7536599610651957,13.404083149718492
0.0,high,19063083,a1,refreshed_calibration,"{""COMPUTE"": 79.33333333333333, ""MEMORY"": 64.33333333333333, ""API_CREDITS"": 46.33333333333333, ""DATASET"": 2.6666666666666665}",3.5796733722681378,2.7536599610651957,13.404083149718492
0.0,high,19063083,a1,stale_calibration,"{""COMPUTE"": 81.66666666666666, ""MEMORY"": 65.5, ""API_CREDITS"": 47.83333333333333, ""DATASET"": 1.3333333333333333}",3.5796733722681378,2.7536599610651957,13.404083149718492
0.0,high,19063083,a2,execution_queue_oracle,"{""COMPUTE"": 64.0, ""MEMORY"": 72.0, ""API_CREDITS"": 8.0, ""DATASET"": 64.0}",3.493807663355863,3.493807663355863,3.493807663355863
0.0,high,19063083,a2,latent_distribution_oracle,"{""COMPUTE"": 64.43858109035686, ""MEMORY"": 71.78334178592632, ""API_CREDITS"": 9.09254165677567, ""DATASET"": 62.253973297850344}",3.493807663355863,3.493807663355863,3.493807663355863
0.0,high,19063083,a2,refreshed_calibration,"{""COMPUTE"": 64.0, ""MEMORY"": 72.0, ""API_CREDITS"": 8.0, ""DATASET"": 64.0}",3.493807663355863,3.493807663355863,3.493807663355863
0.0,high,19063083,a2,stale_calibration,"{""COMPUTE"": 64.0, ""MEMORY"": 72.0, ""API_CREDITS"": 8.0, ""DATASET"": 64.0}",3.493807663355863,3.493807663355863,3.493807663355863
0.0,high,19063083,a3,execution_queue_oracle,"{""COMPUTE"": 176.0, ""MEMORY"": 128.0, ""API_CREDITS"": 80.0, ""DATASET"": 0.0}",10.397298339168739,6.397298339168739,2.8370310064081927
0.0,high,19063083,a3,latent_distribution_oracle,"{""COMPUTE"": 175.78013366638027, ""MEMORY"": 128.75686680807308, ""API_CREDITS"": 80.25772227805311, ""DATASET"": 1.6025755866622653}",10.397298339168739,6.397298339168739,2.8370310064081927
0.0,high,19063083,a3,refreshed_calibration,"{""COMPUTE"": 174.0, ""MEMORY"": 126.66666666666666, ""API_CREDITS"": 79.33333333333333, ""DATASET"": 0.0}",10.397298339168739,6.397298339168739,2.8370310064081927
0.0,high,19063083,a3,stale_calibration,"{""COMPUTE"": 172.0, ""MEMORY"": 125.33333333333333, ""API_CREDITS"": 78.66666666666666, ""DATASET"": 0.0}",10.397298339168739,6.397298339168739,2.8370310064081927
0.0,high,19063083,a4,execution_queue_oracle,"{""COMPUTE"": 176.0, ""MEMORY"": 128.0, ""API_CREDITS"": 80.0, ""DATASET"": 0.0}",0.09468337364183968,0.09468337364183968,0.09468337364183968
0.0,high,19063083,a4,latent_distribution_oracle,"{""COMPUTE"": 175.95265831318474, ""MEMORY"": 127.96858014788562, ""API_CREDITS"": 79.98430420117923, ""DATASET"": 0.00022603589142692273}",0.09468337364183968,0.09468337364183968,0.09468337364183968
0.0,high,19063083,a4,refreshed_calibration,"{""COMPUTE"": 176.0, ""MEMORY"": 128.0, ""API_CREDITS"": 80.0, ""DATASET"": 0.0}",0.09468337364183968,0.09468337364183968,0.09468337364183968
0.0,high,19063083,a4,stale_calibration,"{""COMPUTE"": 176.0, ""MEMORY"": 128.0, ""API_CREDITS"": 80.0, ""DATASET"": 0.0}",0.09468337364183968,0.09468337364183968,0.09468337364183968
0.0,high,19063083,a5,execution_queue_oracle,"{""COMPUTE"": 152.0, ""MEMORY"": 112.0, ""API_CREDITS"": 72.0, ""DATASET"": 0.0}",7.189735839892587,23.189735839892574,14.598522573324129
0.0,high,19063083,a5,latent_distribution_oracle,"{""COMPUTE"": 144.70073876632108, ""MEMORY"": 107.6926565700866, ""API_CREDITS"": 69.90221129687654, ""DATASET"": 0.8941292066083505}",7.189735839892587,23.189735839892574,14.598522573324129
0.0,high,19063083,a5,refreshed_calibration,"{""COMPUTE"": 134.0, ""MEMORY"": 100.0, ""API_CREDITS"": 66.0, ""DATASET"": 0.0}",7.189735839892587,23.189735839892574,14.598522573324129
0.0,high,19063083,a5,stale_calibration,"{""COMPUTE"": 142.0, ""MEMORY"": 105.33333333333333, ""API_CREDITS"": 68.66666666666666, ""DATASET"": 0.0}",7.189735839892587,23.189735839892574,14.598522573324129
0.0,high,27327381,a0,execution_queue_oracle,"{""COMPUTE"": 80.0, ""MEMORY"": 64.0, ""API_CREDITS"": 48.0, ""DATASET"": 0.0}",2.9290600104157063,6.15161594933507,10.151615949335062
0.0,high,27327381,a0,latent_distribution_oracle,"{""COMPUTE"": 84.64177263277737, ""MEMORY"": 67.43005820347001, ""API_CREDITS"": 48.944611302793014, ""DATASET"": 1.1351738102946622}",2.9290600104157063,6.15161594933507,10.151615949335062
